q1_len,q2_len,q1_words,q2_words,common_words,total_words,words_share,token_set,token_sort,partial_token_set,partial_token_sort
28,27,4,4,2,8,0.25,71,69,100,75
33,34,4,4,2,8,0.25,75,66,100,64
83,7,14,2,1,16,0.06,60,13,100,57
23,18,4,3,2,7,0.29,76,54,100,50
53,84,8,10,0,14,0.0,20,22,26,33
84,56,13,8,2,20,0.1,40,39,100,55
25,23,3,3,2,6,0.33,82,75,100,78
106,43,15,9,2,21,0.1,35,31,100,42
47,47,6,7,2,11,0.18,48,43,100,48
7,15,1,2,1,3,0.33,100,64,100,100
112,126,16,20,7,36,0.19,73,72,100,67
26,30,3,4,1,7,0.14,68,68,100,83
15,8,3,2,2,5,0.4,100,70,100,100
37,72,5,9,2,14,0.14,63,55,100,54
31,30,4,4,3,8,0.38,85,85,100,83
92,19,20,2,0,17,0.0,18,14,26,26
68,42,9,7,0,16,0.0,38,38,48,48
26,28,3,3,1,6,0.17,81,81,100,85
13,13,2,2,2,4,0.5,100,100,100,100
76,80,11,11,3,21,0.14,50,49,100,54
54,37,6,6,1,12,0.08,42,40,100,41
33,43,7,6,3,12,0.25,66,68,100,61
15,25,2,4,2,6,0.33,100,75,100,67
16,25,3,5,3,8,0.38,100,78,100,100
71,72,11,11,10,22,0.45,99,99,100,99
84,41,13,7,0,18,0.0,32,29,41,41
43,43,5,5,5,10,0.5,100,100,100,100
28,16,5,3,3,8,0.38,100,73,100,100
23,26,3,4,2,7,0.29,82,73,100,78
102,27,16,4,3,17,0.18,83,33,100,70
94,122,14,18,2,29,0.07,38,42,100,48
13,18,3,4,3,7,0.43,100,84,100,100
63,26,9,4,2,13,0.15,63,45,100,62
35,40,4,5,4,9,0.44,100,93,100,100
48,61,8,7,0,15,0.0,33,33,38,38
26,19,4,3,2,7,0.29,69,58,100,68
21,20,6,4,0,10,0.0,24,24,23,23
26,30,4,5,0,9,0.0,32,32,42,42
26,26,4,4,3,8,0.38,87,85,100,85
32,31,4,5,2,9,0.22,57,51,100,52
36,34,4,4,2,8,0.25,97,97,100,94
53,75,7,11,3,17,0.18,62,55,100,58
20,20,4,4,1,8,0.12,40,35,100,35
31,44,4,5,2,8,0.25,65,61,100,74
48,39,6,5,1,11,0.09,41,41,100,44
17,12,3,2,2,5,0.4,100,83,100,67
24,19,3,2,1,5,0.2,84,84,100,76
21,23,3,3,2,6,0.33,95,95,100,90
15,36,3,5,0,8,0.0,51,51,73,73
44,44,7,7,6,14,0.43,90,82,100,90
49,36,7,6,2,13,0.15,56,56,100,67
33,52,5,7,5,12,0.42,100,78,100,76
70,77,9,9,8,18,0.44,96,87,100,81
40,40,6,7,2,13,0.15,52,57,100,64
